,country,iso_code,year,unit_of_measure,percentage
0,Canada,CAN,2023,percentage,3.0
1,United States,USA,2023,percentage,4.7
2,Canada,CAN,2022,percentage,2.7
3,United States,USA,2022,percentage,4.7
4,Canada,CAN,2021,percentage,3.0
5,United States,USA,2021,percentage,2.5
6,Canada,CAN,2020,percentage,3.2
7,United States,USA,2020,percentage,3.2
8,Canada,CAN,2019,percentage,2.7
9,United States,USA,2019,percentage,4.2
10,Canada,CAN,2018,percentage,2.7
11,United States,USA,2018,percentage,4.7
12,Canada,CAN,2017,percentage,3.2
13,United States,USA,2017,percentage,5.0
